"","start_week","week_num","year","age_group","n"
"1",2018-12-31,1,2019,"5-17",1
"2",2018-12-31,1,2019,"18-49",1
"3",2019-01-07,2,2019,"<1",5
"4",2019-01-07,2,2019,"1-4",8
"5",2019-01-07,2,2019,"5-17",9
"6",2019-01-07,2,2019,"18-49",1
"7",2019-01-07,2,2019,"50-64",1
"8",2019-01-07,2,2019,"65+",1
"9",2019-01-14,3,2019,"<1",4
"10",2019-01-14,3,2019,"1-4",6
"11",2019-01-14,3,2019,"5-17",9
"12",2019-01-14,3,2019,"18-49",1
"13",2019-01-14,3,2019,"50-64",1
"14",2019-01-14,3,2019,"65+",3
"15",2019-01-21,4,2019,"<1",4
"16",2019-01-21,4,2019,"1-4",11
"17",2019-01-21,4,2019,"5-17",7
"18",2019-01-21,4,2019,"18-49",2
"19",2019-01-21,4,2019,"50-64",1
"20",2019-01-21,4,2019,"65+",3
"21",2019-01-28,5,2019,"<1",6
"22",2019-01-28,5,2019,"1-4",7
"23",2019-01-28,5,2019,"5-17",6
"24",2019-01-28,5,2019,"18-49",1
"25",2019-01-28,5,2019,"50-64",1
"26",2019-01-28,5,2019,"65+",1
"27",2019-02-04,6,2019,"<1",3
"28",2019-02-04,6,2019,"1-4",10
"29",2019-02-04,6,2019,"5-17",12
"30",2019-02-04,6,2019,"18-49",4
"31",2019-02-11,7,2019,"<1",5
"32",2019-02-11,7,2019,"1-4",7
"33",2019-02-11,7,2019,"5-17",7
"34",2019-02-11,7,2019,"18-49",5
"35",2019-02-11,7,2019,"50-64",1
"36",2019-02-18,8,2019,"<1",17
"37",2019-02-18,8,2019,"1-4",23
"38",2019-02-18,8,2019,"5-17",16
"39",2019-02-18,8,2019,"18-49",7
"40",2019-02-18,8,2019,"50-64",1
"41",2019-02-18,8,2019,"65+",2
"42",2019-02-25,9,2019,"<1",18
"43",2019-02-25,9,2019,"1-4",21
"44",2019-02-25,9,2019,"5-17",34
"45",2019-02-25,9,2019,"18-49",14
"46",2019-02-25,9,2019,"50-64",3
"47",2019-02-25,9,2019,"65+",5
"48",2019-03-04,10,2019,"<1",45
"49",2019-03-04,10,2019,"1-4",38
"50",2019-03-04,10,2019,"5-17",33
"51",2019-03-04,10,2019,"18-49",10
"52",2019-03-04,10,2019,"50-64",3
"53",2019-03-04,10,2019,"65+",4
"54",2019-03-11,11,2019,"<1",50
"55",2019-03-11,11,2019,"1-4",39
"56",2019-03-11,11,2019,"5-17",49
"57",2019-03-11,11,2019,"18-49",21
"58",2019-03-11,11,2019,"50-64",5
"59",2019-03-11,11,2019,"65+",3
"60",2019-03-18,12,2019,"<1",44
"61",2019-03-18,12,2019,"1-4",71
"62",2019-03-18,12,2019,"5-17",65
"63",2019-03-18,12,2019,"18-49",21
"64",2019-03-18,12,2019,"50-64",3
"65",2019-03-18,12,2019,"65+",11
"66",2019-03-25,13,2019,"<1",81
"67",2019-03-25,13,2019,"1-4",50
"68",2019-03-25,13,2019,"5-17",68
"69",2019-03-25,13,2019,"18-49",14
"70",2019-03-25,13,2019,"50-64",1
"71",2019-03-25,13,2019,"65+",4
"72",2019-04-01,14,2019,"<1",73
"73",2019-04-01,14,2019,"1-4",67
"74",2019-04-01,14,2019,"5-17",81
"75",2019-04-01,14,2019,"18-49",29
"76",2019-04-01,14,2019,"65+",6
"77",2019-04-08,15,2019,"<1",93
"78",2019-04-08,15,2019,"1-4",82
"79",2019-04-08,15,2019,"5-17",110
"80",2019-04-08,15,2019,"18-49",35
"81",2019-04-08,15,2019,"50-64",10
"82",2019-04-08,15,2019,"65+",7
"83",2019-04-15,16,2019,"<1",57
"84",2019-04-15,16,2019,"1-4",75
"85",2019-04-15,16,2019,"5-17",83
"86",2019-04-15,16,2019,"18-49",32
"87",2019-04-15,16,2019,"50-64",3
"88",2019-04-15,16,2019,"65+",10
"89",2019-04-22,17,2019,"<1",78
"90",2019-04-22,17,2019,"1-4",99
"91",2019-04-22,17,2019,"5-17",102
"92",2019-04-22,17,2019,"18-49",34
"93",2019-04-22,17,2019,"50-64",6
"94",2019-04-22,17,2019,"65+",11
"95",2019-04-29,18,2019,"<1",74
"96",2019-04-29,18,2019,"1-4",73
"97",2019-04-29,18,2019,"5-17",104
"98",2019-04-29,18,2019,"18-49",27
"99",2019-04-29,18,2019,"50-64",7
"100",2019-04-29,18,2019,"65+",12
"101",2019-05-06,19,2019,"<1",88
"102",2019-05-06,19,2019,"1-4",87
"103",2019-05-06,19,2019,"5-17",90
"104",2019-05-06,19,2019,"18-49",24
"105",2019-05-06,19,2019,"50-64",7
"106",2019-05-06,19,2019,"65+",16
"107",2019-05-13,20,2019,"<1",91
"108",2019-05-13,20,2019,"1-4",90
