"","Country","Disease","Year","Month","Week_num","Week_type","Week_date","hospitalisation_num","hospitalisation_rate","Flu_A","Flu_B","Population","Year_Country","hospitalisation_rate_scaled","hospitalisation_rate_log","Season_week","Season","hemisphere"
"1","US","Influenza",2023,NA,1,NA,NA,NA,3,NA,NA,64756584,"2023-US",1.51672977462492,1.09861228866811,33,"2022/23","North Hemisphere"
"2","US","Influenza",2023,NA,2,NA,NA,NA,1.3,NA,NA,64756584,"2023-US",0.43742341345947,0.262364264467491,34,"2022/23","North Hemisphere"
"3","US","Influenza",2023,NA,3,NA,NA,NA,0.8,NA,NA,64756584,"2023-US",0.119980366057868,-0.22314355131421,35,"2022/23","North Hemisphere"
"4","US","Influenza",2023,NA,4,NA,NA,NA,0.5,NA,NA,64756584,"2023-US",-0.0704854623830934,-0.693147180559945,36,"2022/23","North Hemisphere"
"5","US","Influenza",2023,NA,5,NA,NA,NA,0.4,NA,NA,64756584,"2023-US",-0.133974071863414,-0.916290731874155,37,"2022/23","North Hemisphere"
"6","US","Influenza",2023,NA,6,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681343734,-1.20397280432594,38,"2022/23","North Hemisphere"
"7","US","Influenza",2023,NA,7,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681343734,-1.20397280432594,39,"2022/23","North Hemisphere"
"8","US","Influenza",2023,NA,8,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681343734,-1.20397280432594,40,"2022/23","North Hemisphere"
"9","US","Influenza",2023,NA,9,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,41,"2022/23","North Hemisphere"
"10","US","Influenza",2023,NA,10,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681343734,-1.20397280432594,42,"2022/23","North Hemisphere"
"11","US","Influenza",2023,NA,11,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681343734,-1.20397280432594,43,"2022/23","North Hemisphere"
"12","US","Influenza",2023,NA,12,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681343734,-1.20397280432594,44,"2022/23","North Hemisphere"
"13","US","Influenza",2023,NA,13,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,45,"2022/23","North Hemisphere"
"14","US","Influenza",2023,NA,14,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,46,"2022/23","North Hemisphere"
"15","US","Influenza",2023,NA,15,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,47,"2022/23","North Hemisphere"
"16","US","Influenza",2023,NA,16,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,48,"2022/23","North Hemisphere"
"17","US","Influenza",2023,NA,17,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,49,"2022/23","North Hemisphere"
"18","US","Influenza",2023,NA,40,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,20,"2023/24","North Hemisphere"
"19","US","Influenza",2023,NA,41,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,21,"2023/24","North Hemisphere"
"20","US","Influenza",2023,NA,42,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,22,"2023/24","North Hemisphere"
"21","US","Influenza",2023,NA,43,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951290824055,-1.6094379124341,23,"2023/24","North Hemisphere"
"22","US","Influenza",2023,NA,44,NA,NA,NA,0.4,NA,NA,64756584,"2023-US",-0.133974071863414,-0.916290731874155,24,"2023/24","North Hemisphere"
"23","US","Influenza",2023,NA,45,NA,NA,NA,0.7,NA,NA,64756584,"2023-US",0.0564917565775474,-0.356674943938732,25,"2023/24","North Hemisphere"
"24","US","Influenza",2023,NA,46,NA,NA,NA,0.9,NA,NA,64756584,"2023-US",0.183468975538188,-0.105360515657826,26,"2023/24","North Hemisphere"
"25","US","Influenza",2023,NA,47,NA,NA,NA,1.3,NA,NA,64756584,"2023-US",0.43742341345947,0.262364264467491,27,"2023/24","North Hemisphere"
"26","US","Influenza",2023,NA,48,NA,NA,NA,2.1,NA,NA,64756584,"2023-US",0.945332289302033,0.741937344729377,28,"2023/24","North Hemisphere"
"27","US","Influenza",2023,NA,49,NA,NA,NA,2.8,NA,NA,64756584,"2023-US",1.38975255566428,1.02961941718116,29,"2023/24","North Hemisphere"
"28","US","Influenza",2023,NA,50,NA,NA,NA,4,NA,NA,64756584,"2023-US",2.15161586942812,1.38629436111989,30,"2023/24","North Hemisphere"
"29","US","Influenza",2023,NA,51,NA,NA,NA,6.1,NA,NA,64756584,"2023-US",3.48487666851485,1.80828877117927,31,"2023/24","North Hemisphere"
"30","US","Influenza",2023,NA,52,NA,NA,NA,7.9,NA,NA,64756584,"2023-US",4.62767163916062,2.06686275947298,32,"2023/24","North Hemisphere"
"31","US","Influenza",2022,NA,1,NA,NA,NA,0.6,NA,NA,64756584,"2022-US",-0.00699685290277298,-0.510825623765991,33,"2021/22","North Hemisphere"
"32","US","Influenza",2022,NA,2,NA,NA,NA,0.4,NA,NA,64756584,"2022-US",-0.133974071863414,-0.916290731874155,34,"2021/22","North Hemisphere"
"33","US","Influenza",2022,NA,3,NA,NA,NA,0.3,NA,NA,64756584,"2022-US",-0.197462681343734,-1.20397280432594,35,"2021/22","North Hemisphere"
"34","US","Influenza",2022,NA,4,NA,NA,NA,0.2,NA,NA,64756584,"2022-US",-0.260951290824055,-1.6094379124341,36,"2021/22","North Hemisphere"
"35","US","Influenza",2022,NA,5,NA,NA,NA,0.2,NA,NA,64756584,"2022-US",-0.260951290824055,-1.6094379124341,37,"2021/22","North Hemisphere"
"36","US","Influenza",2022,NA,6,NA,NA,NA,0.2,NA,NA,64756584,"2022-US",-0.260951290824055,-1.6094379124341,38,"2021/22","North Hemisphere"
"37","US","Influenza",2022,NA,7,NA,NA,NA,0.2,NA,NA,64756584,"2022-US",-0.260951290824055,-1.6094379124341,39,"2021/22","North Hemisphere"
"38","US","Influenza",2022,NA,8,NA,NA,NA,0.3,NA,NA,64756584,"2022-US",-0.197462681343734,-1.20397280432594,40,"2021/22","North Hemisphere"
"39","US","Influenza",2022,NA,9,NA,NA,NA,0.3,NA,NA,64756584,"2022-US",-0.197462681343734,-1.20397280432594,41,"2021/22","North Hemisphere"
"40","US","Influenza",2022,NA,10,NA,NA,NA,0.4,NA,NA,64756584,"2022-US",-0.133974071863414,-0.916290731874155,42,"2021/22","North Hemisphere"
"41","US","Influenza",2022,NA,11,NA,NA,NA,0.6,NA,NA,64756584,"2022-US",-0.00699685290277298,-0.510825623765991,43,"2021/22","North Hemisphere"
"42","US","Influenza",2022,NA,12,NA,NA,NA,0.7,NA,NA,64756584,"2022-US",0.0564917565775474,-0.356674943938732,44,"2021/22","North Hemisphere"
"43","US","Influenza",2022,NA,13,NA,NA,NA,0.9,NA,NA,64756584,"2022-US",0.183468975538188,-0.105360515657826,45,"2021/22","North Hemisphere"
"44","US","Influenza",2022,NA,14,NA,NA,NA,1.1,NA,NA,64756584,"2022-US",0.310446194498829,0.0953101798043249,46,"2021/22","North Hemisphere"
"45","US","Influenza",2022,NA,15,NA,NA,NA,1.1,NA,NA,64756584,"2022-US",0.310446194498829,0.0953101798043249,47,"2021/22","North Hemisphere"
"46","US","Influenza",2022,NA,16,NA,NA,NA,1.2,NA,NA,64756584,"2022-US",0.373934803979149,0.182321556793955,48,"2021/22","North Hemisphere"
"47","US","Influenza",2022,NA,17,NA,NA,NA,1.2,NA,NA,64756584,"2022-US",0.373934803979149,0.182321556793955,49,"2021/22","North Hemisphere"
"48","US","Influenza",2022,NA,18,NA,NA,NA,1.1,NA,NA,64756584,"2022-US",0.310446194498829,0.0953101798043249,50,"2021/22","North Hemisphere"
"49","US","Influenza",2022,NA,19,NA,NA,NA,1,NA,NA,64756584,"2022-US",0.246957585018509,0,51,"2021/22","North Hemisphere"
"50","US","Influenza",2022,NA,20,NA,NA,NA,0.8,NA,NA,64756584,"2022-US",0.119980366057868,-0.22314355131421,52,"2021/22","North Hemisphere"
"51","US","Influenza",2022,NA,21,NA,NA,NA,0.6,NA,NA,64756584,"2022-US",-0.00699685290277298,-0.510825623765991,1,"2022/23","North Hemisphere"
"52","US","Influenza",2022,NA,22,NA,NA,NA,0.5,NA,NA,64756584,"2022-US",-0.0704854623830934,-0.693147180559945,2,"2022/23","North Hemisphere"
"53","US","Influenza",2022,NA,23,NA,NA,NA,0.3,NA,NA,64756584,"2022-US",-0.197462681343734,-1.20397280432594,3,"2022/23","North Hemisphere"
"54","US","Influenza",2022,NA,40,NA,NA,NA,0.4,NA,NA,64756584,"2022-US",-0.133974071863414,-0.916290731874155,20,"2022/23","North Hemisphere"
"55","US","Influenza",2022,NA,41,NA,NA,NA,0.6,NA,NA,64756584,"2022-US",-0.00699685290277298,-0.510825623765991,21,"2022/23","North Hemisphere"
"56","US","Influenza",2022,NA,42,NA,NA,NA,0.9,NA,NA,64756584,"2022-US",0.183468975538188,-0.105360515657826,22,"2022/23","North Hemisphere"
"57","US","Influenza",2022,NA,43,NA,NA,NA,1.7,NA,NA,64756584,"2022-US",0.691377851380751,0.53062825106217,23,"2022/23","North Hemisphere"
"58","US","Influenza",2022,NA,44,NA,NA,NA,2.5,NA,NA,64756584,"2022-US",1.19928672722331,0.916290731874155,24,"2022/23","North Hemisphere"
"59","US","Influenza",2022,NA,45,NA,NA,NA,3.2,NA,NA,64756584,"2022-US",1.64370699358556,1.16315080980568,25,"2022/23","North Hemisphere"
"60","US","Influenza",2022,NA,46,NA,NA,NA,3.9,NA,NA,64756584,"2022-US",2.0881272599478,1.3609765531356,26,"2022/23","North Hemisphere"
"61","US","Influenza",2022,NA,47,NA,NA,NA,6.9,NA,NA,64756584,"2022-US",3.99278554435741,1.93152141160321,27,"2022/23","North Hemisphere"
"62","US","Influenza",2022,NA,48,NA,NA,NA,8.7,NA,NA,64756584,"2022-US",5.13558051500318,2.16332302566054,28,"2022/23","North Hemisphere"
"63","US","Influenza",2022,NA,49,NA,NA,NA,7.3,NA,NA,64756584,"2022-US",4.24673998227869,1.98787434815435,29,"2022/23","North Hemisphere"
"64","US","Influenza",2022,NA,50,NA,NA,NA,6.4,NA,NA,64756584,"2022-US",3.67534249695581,1.85629799036563,30,"2022/23","North Hemisphere"
"65","US","Influenza",2022,NA,51,NA,NA,NA,5.6,NA,NA,64756584,"2022-US",3.16743362111325,1.7227665977411,31,"2022/23","North Hemisphere"
"66","US","Influenza",2022,NA,52,NA,NA,NA,5.2,NA,NA,64756584,"2022-US",2.91347918319197,1.64865862558738,32,"2022/23","North Hemisphere"
"67","US","Influenza",2021,NA,45,NA,NA,NA,0.1,NA,NA,64756584,"2021-US",-0.324439900304375,-2.30258509299405,25,"2021/22","North Hemisphere"
"68","US","Influenza",2021,NA,46,NA,NA,NA,0.1,NA,NA,64756584,"2021-US",-0.324439900304375,-2.30258509299405,26,"2021/22","North Hemisphere"
"69","US","Influenza",2021,NA,47,NA,NA,NA,0.2,NA,NA,64756584,"2021-US",-0.260951290824055,-1.6094379124341,27,"2021/22","North Hemisphere"
"70","US","Influenza",2021,NA,48,NA,NA,NA,0.3,NA,NA,64756584,"2021-US",-0.197462681343734,-1.20397280432594,28,"2021/22","North Hemisphere"
"71","US","Influenza",2021,NA,49,NA,NA,NA,0.4,NA,NA,64756584,"2021-US",-0.133974071863414,-0.916290731874155,29,"2021/22","North Hemisphere"
"72","US","Influenza",2021,NA,50,NA,NA,NA,0.6,NA,NA,64756584,"2021-US",-0.00699685290277298,-0.510825623765991,30,"2021/22","North Hemisphere"
"73","US","Influenza",2021,NA,51,NA,NA,NA,0.7,NA,NA,64756584,"2021-US",0.0564917565775474,-0.356674943938732,31,"2021/22","North Hemisphere"
"74","US","Influenza",2021,NA,52,NA,NA,NA,1,NA,NA,64756584,"2021-US",0.246957585018509,0,32,"2021/22","North Hemisphere"
"75","US","Influenza",2020,NA,1,NA,NA,NA,5.3,NA,NA,64756584,"2020-US",2.97696779267229,1.66770682055808,33,"2019/20","North Hemisphere"
