Year,Week_num,Year_week,Season,Season_week
2017,1,2017_1_1,2016/17,33
2017,2,2017_2_1,2016/17,34
2017,3,2017_3_1,2016/17,35
2017,4,2017_4_1,2016/17,36
2017,5,2017_5_1,2016/17,37
2017,6,2017_6_1,2016/17,38
2017,7,2017_7_1,2016/17,39
2017,8,2017_8_1,2016/17,40
2017,9,2017_9_1,2016/17,41
2017,10,2017_10_1,2016/17,42
2017,11,2017_11_1,2016/17,43
2017,12,2017_12_1,2016/17,44
2017,13,2017_13_1,2016/17,45
2017,14,2017_14_1,2016/17,46
2017,15,2017_15_1,2016/17,47
2017,16,2017_16_1,2016/17,48
2017,17,2017_17_1,2016/17,49
2017,18,2017_18_1,2016/17,50
2017,19,2017_19_1,2016/17,51
2017,20,2017_20_1,2016/17,52
2017,21,2017_21_1,2017/18,1
2017,22,2017_22_1,2017/18,2
2017,23,2017_23_1,2017/18,3
2017,24,2017_24_1,2017/18,4
2017,25,2017_25_1,2017/18,5
2017,26,2017_26_1,2017/18,6
2017,27,2017_27_1,2017/18,7
2017,28,2017_28_1,2017/18,8
2017,29,2017_29_1,2017/18,9
2017,30,2017_30_1,2017/18,10
2017,31,2017_31_1,2017/18,11
2017,32,2017_32_1,2017/18,12
2017,33,2017_33_1,2017/18,13
2017,34,2017_34_1,2017/18,14
2017,35,2017_35_1,2017/18,15
2017,36,2017_36_1,2017/18,16
2017,37,2017_37_1,2017/18,17
2017,38,2017_38_1,2017/18,18
2017,39,2017_39_1,2017/18,19
2017,40,2017_40_1,2017/18,20
2017,41,2017_41_1,2017/18,21
2017,42,2017_42_1,2017/18,22
2017,43,2017_43_1,2017/18,23
2017,44,2017_44_1,2017/18,24
2017,45,2017_45_1,2017/18,25
2017,46,2017_46_1,2017/18,26
2017,47,2017_47_1,2017/18,27
2017,48,2017_48_1,2017/18,28
2017,49,2017_49_1,2017/18,29
2017,50,2017_50_1,2017/18,30
2017,51,2017_51_1,2017/18,31
2017,52,2017_52_1,2017/18,32
2018,1,2018_1_1,2017/18,33
2018,2,2018_2_1,2017/18,34
2018,3,2018_3_1,2017/18,35
2018,4,2018_4_1,2017/18,36
2018,5,2018_5_1,2017/18,37
2018,6,2018_6_1,2017/18,38
2018,7,2018_7_1,2017/18,39
2018,8,2018_8_1,2017/18,40
2018,9,2018_9_1,2017/18,41
2018,10,2018_10_1,2017/18,42
2018,11,2018_11_1,2017/18,43
2018,12,2018_12_1,2017/18,44
2018,13,2018_13_1,2017/18,45
2018,14,2018_14_1,2017/18,46
2018,15,2018_15_1,2017/18,47
2018,16,2018_16_1,2017/18,48
2018,17,2018_17_1,2017/18,49
2018,18,2018_18_1,2017/18,50
2018,19,2018_19_1,2017/18,51
2018,20,2018_20_1,2017/18,52
2018,21,2018_21_1,2018/19,1
2018,22,2018_22_1,2018/19,2
2018,23,2018_23_1,2018/19,3
2018,24,2018_24_1,2018/19,4
2018,25,2018_25_1,2018/19,5
2018,26,2018_26_1,2018/19,6
2018,27,2018_27_1,2018/19,7
2018,28,2018_28_1,2018/19,8
2018,29,2018_29_1,2018/19,9
2018,30,2018_30_1,2018/19,10
2018,31,2018_31_1,2018/19,11
2018,32,2018_32_1,2018/19,12
2018,33,2018_33_1,2018/19,13
2018,34,2018_34_1,2018/19,14
2018,35,2018_35_1,2018/19,15
2018,36,2018_36_1,2018/19,16
2018,37,2018_37_1,2018/19,17
2018,38,2018_38_1,2018/19,18
2018,39,2018_39_1,2018/19,19
2018,40,2018_40_1,2018/19,20
2018,41,2018_41_1,2018/19,21
2018,42,2018_42_1,2018/19,22
2018,43,2018_43_1,2018/19,23
2018,44,2018_44_1,2018/19,24
2018,45,2018_45_1,2018/19,25
2018,46,2018_46_1,2018/19,26
2018,47,2018_47_1,2018/19,27
2018,48,2018_48_1,2018/19,28
2018,49,2018_49_1,2018/19,29
2018,50,2018_50_1,2018/19,30
2018,51,2018_51_1,2018/19,31
2018,52,2018_52_1,2018/19,32
2019,1,2019_1_1,2018/19,33
2019,2,2019_2_1,2018/19,34
2019,3,2019_3_1,2018/19,35
2019,4,2019_4_1,2018/19,36
2019,5,2019_5_1,2018/19,37
2019,6,2019_6_1,2018/19,38
2019,7,2019_7_1,2018/19,39
2019,8,2019_8_1,2018/19,40
2019,9,2019_9_1,2018/19,41
2019,10,2019_10_1,2018/19,42
2019,11,2019_11_1,2018/19,43
2019,12,2019_12_1,2018/19,44
2019,13,2019_13_1,2018/19,45
2019,14,2019_14_1,2018/19,46
2019,15,2019_15_1,2018/19,47
2019,16,2019_16_1,2018/19,48
2019,17,2019_17_1,2018/19,49
2019,18,2019_18_1,2018/19,50
2019,19,2019_19_1,2018/19,51
2019,20,2019_20_1,2018/19,52
2019,21,2019_21_1,2019/20,1
2019,22,2019_22_1,2019/20,2
2019,23,2019_23_1,2019/20,3
2019,24,2019_24_1,2019/20,4
2019,25,,2019/20,5
2019,26,,2019/20,6
2019,27,,2019/20,7
2019,28,,2019/20,8
