"","Disease","Country","Year","Season","monthly_rate_sum","hemisphere","month","era"
"1","Influenza","England",2017,"2016/17",13.459964408,"North Hemisphere",1,"Pre-pandemic"
"2","Influenza","England",2018,"2017/18",33.655379295,"North Hemisphere",1,"Pre-pandemic"
"3","Influenza","England",2019,"2018/19",22.668965817,"North Hemisphere",1,"Pre-pandemic"
"4","Influenza","England",2019,"2019/20",26.0671201068325,"North Hemisphere",12,"Pre-pandemic"
"5","Influenza","England",2020,"2020/21",0.106041860766709,"North Hemisphere",11,"Post-pandemic"
"6","Influenza","England",2021,"2021/22",0.174272420971894,"North Hemisphere",9,"Post-pandemic"
"7","Influenza","England",2022,"2022/23",51.837937358,"North Hemisphere",12,"Post-pandemic"
"8","Influenza","England",2023,"2023/24",16.887535333,"North Hemisphere",12,"Post-pandemic"
"9","Influenza","France",2019,"2018/19",1.49068880832302,"North Hemisphere",1,"Pre-pandemic"
"10","Influenza","France",2020,"2019/20",0.561413930599592,"North Hemisphere",1,"Pre-pandemic"
"11","Influenza","France",2020,"2020/21",0.0728907589452509,"North Hemisphere",12,"Post-pandemic"
"12","Influenza","France",2022,"2021/22",0.377553351538007,"North Hemisphere",3,"Post-pandemic"
"13","Influenza","France",2022,"2022/23",0.835568892748049,"North Hemisphere",12,"Post-pandemic"
"14","Influenza","France",2023,"2023/24",0.0154424452037186,"North Hemisphere",5,"Post-pandemic"
"15","Influenza","Türkiye",2018,"2017/18",0.254865983051876,"North Hemisphere",1,"Pre-pandemic"
"16","Influenza","Türkiye",2019,"2018/19",0.127472796373259,"North Hemisphere",1,"Pre-pandemic"
"17","Influenza","Türkiye",2020,"2019/20",0.230821590195235,"North Hemisphere",1,"Pre-pandemic"
"18","Influenza","Türkiye",2022,"2021/22",0.205207454593483,"North Hemisphere",1,"Post-pandemic"
"19","Influenza","Türkiye",2023,"2022/23",0.17945329878803,"North Hemisphere",1,"Post-pandemic"
"20","Influenza","Türkiye",2023,"2023/24",0.0244709043801858,"North Hemisphere",12,"Post-pandemic"
"21","Influenza","US",2018,"2017/18",45.2,"North Hemisphere",1,"Pre-pandemic"
"22","Influenza","US",2019,"2018/19",19.1,"North Hemisphere",3,"Pre-pandemic"
"23","Influenza","US",2020,"2019/20",23.9,"North Hemisphere",1,"Pre-pandemic"
"24","Influenza","US",2022,"2021/22",5.7,"North Hemisphere",4,"Post-pandemic"
"25","Influenza","US",2022,"2022/23",30,"North Hemisphere",11,"Post-pandemic"
"26","Influenza","US",2023,"2023/24",20.8,"North Hemisphere",12,"Post-pandemic"
"27","Influenza","Australia",2017,"2017/18",7.01901812313733,"South Hemisphere",8,"Pre-pandemic"
"28","Influenza","Australia",2018,"2018/19",1.26505100437443,"South Hemisphere",9,"Pre-pandemic"
"29","Influenza","Australia",2019,"2019/20",5.10703678683386,"South Hemisphere",7,"Pre-pandemic"
"30","Influenza","Australia",2022,"2021/22",4.15625485986717,"South Hemisphere",5,"Post-pandemic"
"31","Influenza","Australia",2023,"2023/24",4.8337480031004,"South Hemisphere",6,"Post-pandemic"
"32","Influenza","Brazil",2018,"2017/18",0.001427439047972,"South Hemisphere",1,"Pre-pandemic"
"33","Influenza","Brazil",2019,"2019/20",0.74321400051991,"South Hemisphere",6,"Pre-pandemic"
"34","Influenza","Brazil",2020,"2019/20",0.607890463241801,"South Hemisphere",3,"Pre-pandemic"
