"","Disease","Country","Year","Season","Week_num","hospitalisation_rate","Season_week","hemisphere","Month","era","Mean_peak_cal_week","Median_peak_cal_week","Mean_peak_season_week","Median_peak_season_week","week_diff_median","week_diff_mean"
"1","Influenza","Australia",2017,"2017/18",35,1.9275866688106,15,"South Hemisphere",8,"Pre-pandemic",32.6666666666667,35,12.6666666666667,15,0,2.33333333333334
"2","Influenza","Australia",2018,"2018/19",36,0.376312640541762,16,"South Hemisphere",9,"Pre-pandemic",32.6666666666667,35,12.6666666666667,15,1,3.33333333333334
"3","Influenza","Australia",2019,"2019/20",27,1.21464658713886,7,"South Hemisphere",7,"Pre-pandemic",32.6666666666667,35,12.6666666666667,15,-8,-5.66666666666666
"4","Influenza","Australia",2022,"2022/23",21,0.817498658098873,1,"South Hemisphere",5,"Post-pandemic",32.6666666666667,35,12.6666666666667,15,-14,-11.6666666666667
"5","Influenza","Australia",2023,"2023/24",24,1.02499664228498,4,"South Hemisphere",6,"Post-pandemic",32.6666666666667,35,12.6666666666667,15,-11,-8.66666666666666
"6","Influenza","Brazil",2018,"2017/18",1,0.001427439047972,33,"South Hemisphere",12,"Pre-pandemic",11.6666666666667,12,26.3333333333333,33,-11,-10.6666666666667
"7","Influenza","Brazil",2019,"2019/20",22,0.217675765082388,2,"South Hemisphere",5,"Pre-pandemic",11.6666666666667,12,26.3333333333333,33,10,10.3333333333333
"8","Influenza","Brazil",2020,"2019/20",12,0.211073077514514,44,"South Hemisphere",3,"Pre-pandemic",11.6666666666667,12,26.3333333333333,33,0,0.333333333333334
"9","Influenza","Brazil",2022,"2021/22",1,1.96132617751628,33,"South Hemisphere",1,"Post-pandemic",11.6666666666667,12,26.3333333333333,33,-11,-10.6666666666667
"10","Influenza","Brazil",2023,"2023/24",21,0.467603993349193,1,"South Hemisphere",5,"Post-pandemic",11.6666666666667,12,26.3333333333333,33,9,9.33333333333333
"11","Influenza","England",2017,"2016/17",5,2.582541985,37,"North Hemisphere",1,"Pre-pandemic",16,5.5,35,35.5,1.5,2
"12","Influenza","England",2018,"2017/18",2,7.899334908,34,"North Hemisphere",1,"Pre-pandemic",16,5.5,35,35.5,-1.5,-1
"13","Influenza","England",2019,"2018/19",6,6.069936752,38,"North Hemisphere",2,"Pre-pandemic",16,5.5,35,35.5,2.5,3
"14","Influenza","England",2019,"2019/20",51,7.49547883004884,31,"North Hemisphere",12,"Pre-pandemic",16,5.5,35,35.5,-4.5,-4
"15","Influenza","England",2020,"2020/21",47,0.0525483265519142,27,"North Hemisphere",11,"Post-pandemic",16,5.5,35,35.5,-8.5,-8
"16","Influenza","England",2021,"2021/22",39,0.0887144729495049,19,"North Hemisphere",9,"Post-pandemic",16,5.5,35,35.5,-16.5,-16
"17","Influenza","England",2022,"2022/23",51,18.09448814,31,"North Hemisphere",12,"Post-pandemic",16,5.5,35,35.5,-4.5,-4
"18","Influenza","England",2023,"2023/24",52,6.226804256,32,"North Hemisphere",12,"Post-pandemic",16,5.5,35,35.5,-3.5,-3
"19","Influenza","France",2019,"2018/19",6,0.468945854284952,38,"North Hemisphere",NA,"Pre-pandemic",6,6,38,38,0,0
"20","Influenza","France",2020,"2019/20",6,0.181451463757327,38,"North Hemisphere",NA,"Pre-pandemic",6,6,38,38,0,0
"21","Influenza","France",2020,"2020/21",52,0.0713398917336498,32,"North Hemisphere",NA,"Post-pandemic",6,6,38,38,-6,-6
