"","Country","Season","Influenza","RSV"
"1","Australia","2022/23",-11.6666666666667,NA
"2","Australia","2023/24",-8.66666666666666,NA
"3","Brazil","2021/22",-10.6666666666667,7.33333333333333
"4","Brazil","2023/24",9.33333333333333,NA
"5","Brazil","2020/21",NA,1.33333333333333
"6","Brazil","2022/23",NA,5.33333333333333
"7","England","2020/21",-8,23.3333333333333
"8","England","2021/22",-16,-17.6666666666667
"9","England","2022/23",-4,-1.66666666666667
"10","England","2023/24",-3,-0.666666666666668
"11","France","2020/21",-6,13
"12","France","2021/22",5,-4
"13","France","2022/23",-6,-3
"14","Türkiye","2021/22",-1,-10.3333333333333
"15","Türkiye","2022/23",-1,-7.33333333333334
"16","Türkiye","2023/24",-2,-7.33333333333334
"17","Türkiye","2020/21",NA,9.66666666666666
"18","US","2021/22",10,-5
"19","US","2022/23",-10,-8
"20","US","2023/24",-6,-3
"21","US","2020/21",NA,19
