"X","Country","Disease","Year","Month","Week_num","Week_type","Week_date","hospitalisation_num","hospitalisation_rate","Flu_A","Flu_B","Population","Year_Country","hospitalisation_rate_scaled","hospitalisation_rate_log","hemisphere","Season_week","Season"
1,"US","Influenza",2023,NA,1,NA,NA,NA,3,NA,NA,64756584,"2023-US",1.516729775,1.098612289,"North Hemisphere",35,"2022/23"
2,"US","Influenza",2023,NA,2,NA,NA,NA,1.3,NA,NA,64756584,"2023-US",0.437423413,0.262364264,"North Hemisphere",36,"2022/23"
3,"US","Influenza",2023,NA,3,NA,NA,NA,0.8,NA,NA,64756584,"2023-US",0.119980366,-0.223143551,"North Hemisphere",37,"2022/23"
4,"US","Influenza",2023,NA,4,NA,NA,NA,0.5,NA,NA,64756584,"2023-US",-0.070485462,-0.693147181,"North Hemisphere",38,"2022/23"
5,"US","Influenza",2023,NA,5,NA,NA,NA,0.4,NA,NA,64756584,"2023-US",-0.133974072,-0.916290732,"North Hemisphere",39,"2022/23"
6,"US","Influenza",2023,NA,6,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681,-1.203972804,"North Hemisphere",40,"2022/23"
7,"US","Influenza",2023,NA,7,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681,-1.203972804,"North Hemisphere",41,"2022/23"
8,"US","Influenza",2023,NA,8,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681,-1.203972804,"North Hemisphere",42,"2022/23"
9,"US","Influenza",2023,NA,9,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",43,"2022/23"
10,"US","Influenza",2023,NA,10,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681,-1.203972804,"North Hemisphere",44,"2022/23"
11,"US","Influenza",2023,NA,11,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681,-1.203972804,"North Hemisphere",45,"2022/23"
12,"US","Influenza",2023,NA,12,NA,NA,NA,0.3,NA,NA,64756584,"2023-US",-0.197462681,-1.203972804,"North Hemisphere",46,"2022/23"
13,"US","Influenza",2023,NA,13,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",47,"2022/23"
14,"US","Influenza",2023,NA,14,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",48,"2022/23"
15,"US","Influenza",2023,NA,15,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",49,"2022/23"
16,"US","Influenza",2023,NA,16,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",50,"2022/23"
17,"US","Influenza",2023,NA,17,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",51,"2022/23"
18,"US","Influenza",2023,NA,40,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",22,"2023/24"
19,"US","Influenza",2023,NA,41,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",23,"2023/24"
20,"US","Influenza",2023,NA,42,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",24,"2023/24"
21,"US","Influenza",2023,NA,43,NA,NA,NA,0.2,NA,NA,64756584,"2023-US",-0.260951291,-1.609437912,"North Hemisphere",25,"2023/24"
22,"US","Influenza",2023,NA,44,NA,NA,NA,0.4,NA,NA,64756584,"2023-US",-0.133974072,-0.916290732,"North Hemisphere",26,"2023/24"
23,"US","Influenza",2023,NA,45,NA,NA,NA,0.7,NA,NA,64756584,"2023-US",0.056491757,-0.356674944,"North Hemisphere",27,"2023/24"
24,"US","Influenza",2023,NA,46,NA,NA,NA,0.9,NA,NA,64756584,"2023-US",0.183468976,-0.105360516,"North Hemisphere",28,"2023/24"
25,"US","Influenza",2023,NA,47,NA,NA,NA,1.3,NA,NA,64756584,"2023-US",0.437423413,0.262364264,"North Hemisphere",29,"2023/24"
26,"US","Influenza",2023,NA,48,NA,NA,NA,2.1,NA,NA,64756584,"2023-US",0.945332289,0.741937345,"North Hemisphere",30,"2023/24"
27,"US","Influenza",2023,NA,49,NA,NA,NA,2.8,NA,NA,64756584,"2023-US",1.389752556,1.029619417,"North Hemisphere",31,"2023/24"
28,"US","Influenza",2023,NA,50,NA,NA,NA,4,NA,NA,64756584,"2023-US",2.151615869,1.386294361,"North Hemisphere",32,"2023/24"
29,"US","Influenza",2023,NA,51,NA,NA,NA,6.1,NA,NA,64756584,"2023-US",3.484876669,1.808288771,"North Hemisphere",33,"2023/24"
30,"US","Influenza",2023,NA,52,NA,NA,NA,7.9,NA,NA,64756584,"2023-US",4.627671639,2.066862759,"North Hemisphere",34,"2023/24"
31,"US","Influenza",2022,NA,1,NA,NA,NA,0.6,NA,NA,64756584,"2022-US",-0.006996853,-0.510825624,"North Hemisphere",35,"2021/22"
32,"US","Influenza",2022,NA,2,NA,NA,NA,0.4,NA,NA,64756584,"2022-US",-0.133974072,-0.916290732,"North Hemisphere",36,"2021/22"
33,"US","Influenza",2022,NA,3,NA,NA,NA,0.3,NA,NA,64756584,"2022-US",-0.197462681,-1.203972804,"North Hemisphere",37,"2021/22"
34,"US","Influenza",2022,NA,4,NA,NA,NA,0.2,NA,NA,64756584,"2022-US",-0.260951291,-1.609437912,"North Hemisphere",38,"2021/22"
35,"US","Influenza",2022,NA,5,NA,NA,NA,0.2,NA,NA,64756584,"2022-US",-0.260951291,-1.609437912,"North Hemisphere",39,"2021/22"
36,"US","Influenza",2022,NA,6,NA,NA,NA,0.2,NA,NA,64756584,"2022-US",-0.260951291,-1.609437912,"North Hemisphere",40,"2021/22"
37,"US","Influenza",2022,NA,7,NA,NA,NA,0.2,NA,NA,64756584,"2022-US",-0.260951291,-1.609437912,"North Hemisphere",41,"2021/22"
38,"US","Influenza",2022,NA,8,NA,NA,NA,0.3,NA,NA,64756584,"2022-US",-0.197462681,-1.203972804,"North Hemisphere",42,"2021/22"
39,"US","Influenza",2022,NA,9,NA,NA,NA,0.3,NA,NA,64756584,"2022-US",-0.197462681,-1.203972804,"North Hemisphere",43,"2021/22"
40,"US","Influenza",2022,NA,10,NA,NA,NA,0.4,NA,NA,64756584,"2022-US",-0.133974072,-0.916290732,"North Hemisphere",44,"2021/22"
41,"US","Influenza",2022,NA,11,NA,NA,NA,0.6,NA,NA,64756584,"2022-US",-0.006996853,-0.510825624,"North Hemisphere",45,"2021/22"
42,"US","Influenza",2022,NA,12,NA,NA,NA,0.7,NA,NA,64756584,"2022-US",0.056491757,-0.356674944,"North Hemisphere",46,"2021/22"
