"X","Country","Disease","Year","Month","Week_num","Week_type","Week_date","hospitalisation_num","hospitalisation_rate","RSV_A","RSV_B","population","Year_Country","hospitalisation_rate_log","hemisphere","Season_week","Season"
1,"US","RSV",2023,1,1,NA,"2023-01-07T00:00:00.000",NA,1.4,NA,NA,339996563,"2023-US",0.336472237,"North Hemisphere",35,"2022/23"
2,"US","RSV",2023,1,2,NA,"2023-01-14T00:00:00.000",NA,1.1,NA,NA,339996563,"2023-US",0.09531018,"North Hemisphere",36,"2022/23"
3,"US","RSV",2023,1,3,NA,"2023-01-21T00:00:00.000",NA,0.8,NA,NA,339996563,"2023-US",-0.223143551,"North Hemisphere",37,"2022/23"
4,"US","RSV",2023,1,4,NA,"2023-01-28T00:00:00.000",NA,0.7,NA,NA,339996563,"2023-US",-0.356674944,"North Hemisphere",38,"2022/23"
5,"US","RSV",2023,2,5,NA,"2023-02-04T00:00:00.000",NA,0.5,NA,NA,339996563,"2023-US",-0.693147181,"North Hemisphere",39,"2022/23"
6,"US","RSV",2023,2,6,NA,"2023-02-11T00:00:00.000",NA,0.5,NA,NA,339996563,"2023-US",-0.693147181,"North Hemisphere",40,"2022/23"
7,"US","RSV",2023,2,7,NA,"2023-02-18T00:00:00.000",NA,0.5,NA,NA,339996563,"2023-US",-0.693147181,"North Hemisphere",41,"2022/23"
8,"US","RSV",2023,2,8,NA,"2023-02-25T00:00:00.000",NA,0.3,NA,NA,339996563,"2023-US",-1.203972804,"North Hemisphere",42,"2022/23"
9,"US","RSV",2023,3,9,NA,"2023-03-04T00:00:00.000",NA,0.3,NA,NA,339996563,"2023-US",-1.203972804,"North Hemisphere",43,"2022/23"
10,"US","RSV",2023,3,10,NA,"2023-03-11T00:00:00.000",NA,0.3,NA,NA,339996563,"2023-US",-1.203972804,"North Hemisphere",44,"2022/23"
11,"US","RSV",2023,3,11,NA,"2023-03-18T00:00:00.000",NA,0.3,NA,NA,339996563,"2023-US",-1.203972804,"North Hemisphere",45,"2022/23"
12,"US","RSV",2023,3,12,NA,"2023-03-25T00:00:00.000",NA,0.2,NA,NA,339996563,"2023-US",-1.609437912,"North Hemisphere",46,"2022/23"
13,"US","RSV",2023,4,13,NA,"2023-04-01T00:00:00.000",NA,0.2,NA,NA,339996563,"2023-US",-1.609437912,"North Hemisphere",47,"2022/23"
14,"US","RSV",2023,4,14,NA,"2023-04-08T00:00:00.000",NA,0.1,NA,NA,339996563,"2023-US",-2.302585093,"North Hemisphere",48,"2022/23"
15,"US","RSV",2023,4,15,NA,"2023-04-15T00:00:00.000",NA,0.1,NA,NA,339996563,"2023-US",-2.302585093,"North Hemisphere",49,"2022/23"
16,"US","RSV",2023,4,16,NA,"2023-04-22T00:00:00.000",NA,0.1,NA,NA,339996563,"2023-US",-2.302585093,"North Hemisphere",50,"2022/23"
17,"US","RSV",2023,4,17,NA,"2023-04-29T00:00:00.000",NA,0.1,NA,NA,339996563,"2023-US",-2.302585093,"North Hemisphere",51,"2022/23"
18,"US","RSV",2023,5,18,NA,"2023-05-06T00:00:00.000",NA,0.1,NA,NA,339996563,"2023-US",-2.302585093,"North Hemisphere",52,"2022/23"
19,"US","RSV",2023,5,19,NA,"2023-05-13T00:00:00.000",NA,0.1,NA,NA,339996563,"2023-US",-2.302585093,"North Hemisphere",1,"2023/24"
