"Country","Disease","Year","Season","Week_num","hospitalisation_rate","Season_week","hemisphere","Month","flag_postcovid","PostCOVID","Precovid_mean_season_week","Difference_compared_to_precovid"
"Australia","Influenza",2018,"2017/18",36,0.376312641,44,"South Hemisphere",9,FALSE,FALSE,39.5,4.5
"Australia","Influenza",2019,"2018/19",27,1.214646587,35,"South Hemisphere",7,FALSE,FALSE,39.5,-4.5
"Australia","Influenza",2022,"2021/22",21,0.817498658,29,"South Hemisphere",5,TRUE,FALSE,39.5,-10.5
"Australia","Influenza",2023,"2022/23",24,1.024996642,32,"South Hemisphere",6,TRUE,FALSE,39.5,-7.5
"Brazil","Influenza",2018,"2017/18",1,0.001427439,9,"South Hemisphere",12,FALSE,FALSE,19.6666666666667,-10.6666666666667
"Brazil","Influenza",2019,"2018/19",22,0.217675765,30,"South Hemisphere",5,FALSE,FALSE,19.6666666666667,10.3333333333333
"Brazil","Influenza",2020,"2019/20",12,0.211073078,20,"South Hemisphere",3,FALSE,FALSE,19.6666666666667,0.333333333333332
"Brazil","Influenza",2021,"2020/21",17,0.014930511,25,"South Hemisphere",4,TRUE,FALSE,19.6666666666667,5.33333333333333
"Brazil","Influenza",2022,"2021/22",1,1.961326178,9,"South Hemisphere",1,TRUE,FALSE,19.6666666666667,-10.6666666666667
"Brazil","Influenza",2023,"2022/23",21,0.467603993,29,"South Hemisphere",5,TRUE,FALSE,19.6666666666667,9.33333333333333
"Brazil","Influenza",2023,"2023/24",50,0.018020312,6,"South Hemisphere",12,TRUE,FALSE,19.6666666666667,-13.6666666666667
"Brazil","RSV",2018,"2017/18",1,0.000951626,9,"South Hemisphere",12,FALSE,FALSE,17.6666666666667,-8.66666666666667
"Brazil","RSV",2019,"2018/19",15,0.159125234,23,"South Hemisphere",4,FALSE,FALSE,17.6666666666667,5.33333333333333
"Brazil","RSV",2020,"2019/20",13,0.074579154,21,"South Hemisphere",3,FALSE,FALSE,17.6666666666667,3.33333333333333
"Brazil","RSV",2021,"2020/21",11,0.17916613,19,"South Hemisphere",3,TRUE,FALSE,17.6666666666667,1.33333333333333
